10210359-001,通年,教育実習指導,10,30.0,40.0,10.0,0.0,10.0,10.0,2.9
10210359-002,通年,教育実習指導,13,7.7,76.9,15.4,0.0,0.0,0.0,2.9
10210359-003,通年,教育実習指導,13,30.8,61.5,7.7,0.0,0.0,0.0,3.2
10210359-004,通年,教育実習指導,10,10.0,70.0,20.0,0.0,0.0,0.0,2.9
10210359-005,通年,教育実習指導,12,0.0,41.7,50.0,8.3,0.0,0.0,2.3
10210392-000,春,ギリシャ語入門Ⅰ,21,38.1,19.0,19.0,0.0,23.8,0.0,2.5
10210393-000,秋,ギリシャ語入門Ⅱ,10,30.0,40.0,0.0,10.0,20.0,0.0,2.5
10210394-000,春,ギリシャ語講読Ⅰ,1,0,0,0,0,0,,
10210395-000,秋,ギリシャ語講読Ⅱ,2,0,0,0,0,0,,
10210400-000,秋,英語教育学,154,24.7,28.6,20.1,12.3,14.3,0.0,2.4
10210461-000,春,英米文学特論Ｂ（１）,48,33.3,18.8,33.3,10.4,4.2,0.0,2.7
10210462-000,春,英米文学特論Ｂ（２）,66,13.6,39.4,25.8,9.1,12.1,0.0,2.3
10210464-000,春,英米文学特論Ｂ（４）,33,66.7,9.1,9.1,0.0,15.2,0.0,3.1
10210465-000,秋,英米文学特論Ｂ（５）,45,31.1,24.4,13.3,8.9,22.2,0.0,2.3
10210468-000,春,英米文学特論Ｂ（８）,151,13.9,51.0,18.5,6.6,9.9,0.0,2.5
10210470-000,秋,英米文学特論Ｂ（１０）,94,21.3,36.2,21.3,7.4,13.8,0.0,2.4
10210491-000,秋,英語文化特論Ｂ（１）,15,20.0,46.7,13.3,6.7,13.3,0.0,2.5
10210492-000,秋,英語文化特論Ｂ（２）,101,17.8,33.7,17.8,11.9,18.8,0.0,2.2
10210493-000,秋,英語文化特論Ｂ（３）,50,26.0,10.0,20.0,4.0,40.0,0.0,1.8
10210494-000,秋,英語文化特論Ｂ（４）,83,53.0,24.1,10.8,3.6,8.4,0.0,3.1
10210495-000,春,英語文化特論Ｂ（５）,77,20.8,23.4,23.4,13.0,19.5,0.0,2.1
10210501-000,春,英語圏文学Ｂ（１）,70,34.3,34.3,10.0,4.3,17.1,0.0,2.6
10210503-000,秋,英語圏文学Ｂ（３）,26,26.9,38.5,15.4,3.8,15.4,0.0,2.6
10210507-000,秋,英語教育特論（２）,12,58.3,16.7,16.7,0.0,8.3,0.0,3.2
10210702-000,春,英語科教育法Ｂ,65,15.4,36.9,21.5,16.9,9.2,0.0,2.3
10210703-000,秋,英語科教育法Ｃ,54,18.5,14.8,27.8,18.5,20.4,0.0,1.9
10210710-000,春,英語科教育法Ａ１,62,24.2,25.8,25.8,9.7,14.5,0.0,2.4
10210711-000,秋,英語科教育法Ａ２,12,50.0,16.7,25.0,0.0,8.3,0.0,3.0
10210712-001,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-002,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-003,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-004,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-005,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-006,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-007,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-008,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-009,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-010,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-011,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-012,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210712-101,春,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅰ,0,0,0,0,0,0,,
10210713-001,秋,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅱ,0,0,0,0,0,0,,
10210713-002,秋,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅱ,0,0,0,0,0,0,,
10210713-003,秋,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅱ,0,0,0,0,0,0,,
10210713-004,秋,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅱ,0,0,0,0,0,0,,
10210713-005,秋,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅱ,0,0,0,0,0,0,,
10210713-006,秋,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅱ,0,0,0,0,0,0,,
10210713-007,秋,Ｃｏｍｍｕｎｉｃａｔｉｖｅ　Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ　Ａ　Ⅱ,0,0,0,0,0,0,,
